
РҚАО-ның ескертпесі! Осы бұйрықтың қолданысқа енгізілу тәртібін 3-тармақтан қараңыз

БҰЙЫРАМЫН: 1. «Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесін бекіту туралы» Қазақстан Республикасы Қаржы министрінің 2014 жылғы 18 қыркүйектегі № 404 бұйрығына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 9760 болып тіркелген) мынадай өзгеріс енгізілсін: Осы бұйрықпен бекітілген Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесін осы бұйрыққа қосымшаға сәйкес жаңа редакцияда жазылсын. 2. Қазақстан Республикасы Қаржы министрлігінің Бюджеттік жоспарлау және болжамдау департаменті (Т.М. Савельева) заңнамада белгіленген тәртіппен: 1) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуін; 2) осы бұйрықтың Қазақстан Республикасы Әділет министрлігінде мемлекеттік тіркелуінен кейін күнтізбелік он күн ішінде бұқаралық ақпарат құралдарында және «Әділет» ақпараттық-құқықтық жүйесінде ресми жариялануға жіберілуін; 3) осы бұйрықтың Қазақстан Республикасы Қаржы министрлігінің интернет-ресурсында орналастырылуын қамтамасыз етсін. 3. Осы бұйрық 2015 жылғы 1 қаңтардан бастап қолданысқа енгізіледі.

Министр                                    Б. Сұлтанов

Қазақстан Республикасы Қаржы министрінің 2014 жылғы 14 қарашадағы № 495 бұйрығына

Қазақстан Республикасы Қаржы министрінің 2014 жылғы 18 қыркүйектегі № 404 бұйрығына 1-қосымша

Бюджет түсімдерін бюджеттер деңгейлері мен Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты арасында бөлу кестесі


Атау	|	КОДТАР	|	БЮДЖЕТКЕ %-БЕН ЕСЕПТЕЛЕДІ
Санаты	|	Сынып	|	Кіші сынып	|	Ерекшелігі	|	Республикалық бюджет	|	Жергілікті бюджеттер	|	Қазақстан Республикасы Ұлттық қорының қолма-қол ақшасының бақылау шоты
Облыстық бюджет	|	Республикалық маңызы бар қала, астана	|	Аудан, облыстық маңызы бар қала
1	|	2	|	3	|	4	|	5	|	6	|	7	|	8	|	9	|	10
Мамандандырылған ұйымдарға үкіметтік сыртқы қарыздар қаражаты есебінен республикалық бюджеттен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	05	|	100	|		|		|		|	
Мамандандырылған ұйымдарға жергілікті бюджеттен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	06	|		|	100	|	100	|	100	|	
Заңды тұлғаларға үкіметтік сыртқы қарыздар қаражаты есебінен республикалық бюджеттен 2005 жылға дейін берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	10	|	100	|		|		|		|	
Заңды тұлғаларға жергілікті бюджеттен 2005 жылға дейін берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	11	|		|	100	|	100	|	100	|	
Жеке тұлғаларға республикалық бюджеттен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	12	|	100	|		|		|		|	
Жеке тұлғаларға жергілікті бюджеттен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	13	|		|	100	|	100	|	100	|	
Шетелдік мемлекеттерге берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	14	|	100	|		|		|		|	
Мемлекеттік кепілдіктер бойынша Қазақстан Республикасының Үкіметі төлеген талаптар бойынша сыйақылар	|	2	|	01	|	7	|	15	|	100	|		|		|		|	
Қаржы агентіктеріне үкіметтік сыртқы қарыз қаражаты есебінен жергілікті бюджеттен ішкі көздер есебінен берілген бюджеттік кредиттер бойынша сыйақылар	|	2	|	01	|	7	|	16	|		|	100	|	100	|		|	
Мемлекет меншігінен түсетін басқа да кірістер	|	2	|	01	|	9	|		|		|		|		|		|	
Ауыл шаруашылығы және орман алқаптарын ауыл және орман шаруашылықтарын жүргізуге байланысты емес мақсаттарға пайдалану үшін алған кезде ауыл шаруашылығы және орман шаруашылығы өндірістерінің шығасыларын өтеуден түсетін түсімдер	|	2	|	01	|	9	|	01	|	100	|		|		|		|	
Жер қойнауы туралы ақпаратты пайдалануға берілгені үшін ақы	|	2	|	01	|	9	|	03	|	100	|		|		|		|	
Жергілікті өкілді органдардың шешімдері бойынша өткізілетін мемлекеттік лотереялардан түсетін кірістердің түсімі	|	2	|	01	|	9	|	04	|		|		|	100	|		|	
Қару-жарақты және әскери техниканы сатудан түсетін кірістер	|	2	|	01	|	9	|	05	|	100	|		|		|		|	
Тәркіленген мүлікті, белгіленген тәртіппен республикалық меншікке өтеусіз өткен мүлікті, оның ішінде кедендік бас тарту режимінде мемлекеттің пайдасына ресімделген тауарлар мен көлік құралдарын сатудан түсетін түсімдер	|	2	|	01	|	9	|	06	|	100	|		|		|		|	
Иесіз мүлікті, белгіленген тәртіппен коммуналдық меншікке өтеусіз өткен мүлікті, қадағалаусыз жануарларды, олжаларды, сондай-ақ мұрагерлік құқығы бойынша мемлекетке өткен мүлікті сатудан алынатын түсімдер	|	2	|	01	|	9	|	07	|		|	100	|	100	|	100	|	
Ұйымдастырылған бағалы қағаздар рыногында сатып алынған мемлекеттік эмиссиялық бағалы қағаздардан түсетін сыйақылар	|	2	|	01	|	9	|	08	|	100	|		|		|		|	
Республикалық меншігіне жататын жер учаскелері бойынша сервитут үшін төлемақы	|	2	|	01	|	9	|	09	|	100	|		|		|		|	
Коммуналдық меншігіне жататын жер учаскелері бойынша сервитут үшін төлемақы	|	2	|	01	|	9	|	10	|		|	100	|	100	|	100	|	
Мемлекеттік бюджеттен қаржыландырылатын мемлекеттік мекемелердің тауарларды (жұмыстарды, қызметтерді) өткізуінен түсетін түсімдер	|	2	|	02	|		|		|		|		|		|		|	
Мемлекеттік бюджеттен қаржыландырылатын мемлекеттік мекемелердің тауарларды (жұмыстарды, қызметтерді) өткізуінен түсетін түсімдер	|	2	|	02	|	1	|		|		|		|		|		|	
Республикалық бюджеттен қаржыландырылатын мемлекеттiк мекемелердің тауарларды (жұмыстарды, қызметтерді) өткізуінен түсетін түсiмдер	|	2	|	02	|	1	|	01	|	100	|		|		|		|	
Жергілікті бюджеттен қаржыландырылатын мемлекеттік мекемелердің тауарларды (жұмыстарды, қызметтерді) өткізуінен түсетін түсімдер	|	2	|	02	|	1	|	02	|		|	100	|	100	|	100	|	
Мемлекеттік бюджеттен қаржыландырылатын мемлекеттік мекемелер ұйымдастыратын мемлекеттік сатып алуды өткізуден түсетін ақша түсімдері	|	2	|	03	|		|		|		|		|		|		|	
Мемлекеттік бюджеттен қаржыландырылатын мемлекеттік мекемелер ұйымдастыратын мемлекеттік сатып алуды өткізуден түсетін ақша түсімдері	|	2	|	03	|	1	|		|		|		|		|		|	
Республикалық бюджеттен қаржыландырылатын мемлекеттiк мекемелер ұйымдастыратын мемлекеттiк сатып алуды өткiзуден түсетiн ақша түсімі	|	2	|	03	|	1	|	01	|	100	|		|		|		|	
Жергілікті бюджеттен қаржыландырылатын мемлекеттік мекемелер ұйымдастыратын мемлекеттік сатып алуды өткізуден түсетін ақшаның түсімі	|	2	|	03	|	1	|	02	|		|	100	|	100	|	100	|	
Мемлекеттік бюджеттен қаржыландырылатын, сондай-ақ Қазақстан Республикасы Ұлттық Банкінің бюджетінен (шығыстар сметасынан) ұсталатын және қаржыландырылатын мемлекеттік мекемелер салатын айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|		|		|		|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, мемлекеттік бюджеттен қаржыландырылатын, сондай-ақ Қазақстан Республикасы Ұлттық Банкінің бюджетінен (шығыстар сметасынан) ұсталатын және қаржыландырылатын мемлекеттік мекемелер салатын айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|		|		|		|		|		|	
Атқарушылық санкция	|	2	|	04	|	1	|	03	|	100	|		|		|		|	
Облыстық бюджеттен қаржыландыратын мемлекеттік мекемелер салатын әкімшілік айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	05	|		|	100	|		|		|	
Жергілікті бюджеттен қаржыландырылатын облыстардың, республикалық маңызы бар қаланың ішкі істер департаменттері, олардың аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсiмпұлдар, санкциялар, өндiрiп алулар	|	2	|	04	|	1	|	06	|		|	100	|	100	|		|	
Заңсыз алынған мүлiктi еркiмен тапсырудан немесе өндіріп алудан немесе мемлекеттiк функцияларды орындауға уәкiлеттiк берiлген тұлғаларға немесе оларға теңестiрiлген тұлғаларға заңсыз көрсетiлген қызметтердiң құнынан алынатын сомалардың түсiмi	|	2	|	04	|	1	|	09	|	100	|		|		|		|	
Мұнай секторын ұйымдастырудан түсетін түсімдерден басқа залалдың орнын толтыру туралы өтініштер бойынша табиғатты пайдаланушылардан алынатын қаражат	|	2	|	04	|	1	|	10	|	100	|		|		|		|	
Түзету жұмыстарына сотталғандардың еңбекақысынан ұсталатын түсімдер	|	2	|	04	|	1	|	12	|		|	100	|	100	|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, республикалық бюджеттен қаржыландырылатын мемлекеттік мекемелер салатын өзге де айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	13	|	100	|		|		|		|	
Жергілікті бюджеттен қаржыландырылатын мемлекеттік мекемелермен алынатын өзге де айыппұлдар, өсімпұлдар, санкциялар	|	2	|	04	|	1	|	14	|		|	100	|	100	|	100	|	
Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдарына республикалық бюджеттен берілген бюджеттік кредиттер (қарыздар) бойынша айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	15	|	100	|		|		|		|	
Аудандардың (облыстық маңызы бар қалалардың) жергілікті атқарушы органдарына облыстық бюджеттен берілген бюджеттік кредиттер бойынша айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	16	|		|	100	|		|		|	
Мамандандырылған ұйымдарға, шет мемлекеттерге, жеке тұлғаларға бюджеттік кредиттер (қарыздар) бойынша республикалық бюджеттен берілген айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	17	|	100	|		|		|		|	
Мамандандырылған ұйымдарға, жеке тұлғаларға бюджеттік кредиттер (қарыздар) бойынша жергілікті бюджеттен берілген айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	18	|		|	100	|	100	|	100	|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Қорғаныс министрлiгi, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	22	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Бiлiм және ғылым министрлiгi, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	23	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Ауыл шаруашылығы министрлiгi, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	25	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Iшкi iстер министрлiгi, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	29	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Әдiлет министрлiгi, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	33	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді және салық салу саласындағы құқық бұзушылықтарды қоспағанда, сот төрағасы немесе сот отырысында төрағалық етушi уәкiлдiк берген сот орындаушылары, сот приставтары және соттардың басқа да қызметкерлерi, салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	42	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Ұлттық Банкi салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	43	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Республикалық бюджеттiң атқарылуын бақылау жөнiндегi есеп комитетiнің тапсырмасы бойынша және/немесе шешімдерін орындау үшін төленуге тиіс санкциялар, өндіріп алулар	|	2	|	04	|	1	|	45	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасының Ұлттық қауіпсіздік комитеті, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	47	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Қаржы министрлігінің Қаржылық бақылау комитеті, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	51	|	100	|		|		|		|	
Республикалық маңызы бар қаланың, астананың бюджеттерінен қаржыландыратын мемлекеттік мекемелер салатын әкімшілік айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	53	|		|		|	100	|		|	
Аудандық маңызы бар қала, ауыл, кент, ауылдық округ әкімдері салатын әкімшілік айыппұлдар, өсімпұлдар, санкциялар, өндіріп алуларды қоспағанда ауданның (облыстық маңызы бар қаланың) бюджетінен қаржыландыратын мемлекеттік мекемелер салатын әкімшілік айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	54	|		|		|		|	100	|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Ұлттық экономика министрлігі, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	57	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Мәдениет және спорт министрлігі, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	58	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Инвестициялар және даму министрлігі, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	59	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Энергетика министрлігі, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	60	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Денсаулық сақтау және әлеуметтік даму министрлігі, республикалық бюджеттен қаржыландырылатын оның аумақтық органдары салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	61	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік кірістер комитеті, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	62	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Мемлекеттік қызмет істері және сыбайлас жемқорлыққа қарсы іс-қимыл агенттігі, республикалық бюджеттен қаржыландырылатын оның аумақтық бөлімшелері салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	63	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, Қазақстан Республикасы Мемлекеттік күзет қызмет салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	1	|	64	|	100	|		|		|		|	
Мемлекеттік бюджеттен қаржыландырылатын, сондай-ақ Қазақстан Республикасы Ұлттық Банкінің бюджетінен (шығыстар сметасынан) қамтылатын және қаржыландырылатын мемлекеттік мекемелердің мұнай секторы ұйымдарына салатын айыппұлдары, өсімпұлдары, санкциялары, өндіріп алулары	|	2	|	04	|	2	|		|		|		|		|		|	
Орталық мемлекеттік органдар, олардың аумақтық бөлімшелері мұнай секторы ұйымдарына салатын әкiмшiлiк айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	2	|	01	|		|		|		|		|	100
Республикалық бюджеттен қаржыландырылатын мемлекеттік мекемелер мұнай секторы ұйымдарына салатын өзге де айыппұлдар, өсімпұлдар, санкциялар, өндіріп алулар	|	2	|	04	|	2	|	02	|		|		|		|		|	100
Мұнай секторы ұйымдары келтірілген зиянның орнын толтыру туралы талаптар бойынша табиғатты пайдаланушылардан алынған қаражат	|	2	|	04	|	2	|	03	|		|		|		|		|	100
Гранттар	|	2	|	05	|		|		|		|		|		|		|	
Техникалық көмек	|	2	|	05	|	1	|		|		|		|		|		|	
Орталық мемлекеттік органдар тартатын гранттар	|	2	|	05	|	1	|	01	|	100	|		|		|		|	
Жергілікті атқарушы органдар тартатын гранттар	|	2	|	05	|	1	|	02	|		|	100	|	100	|	100	|	
Қаржылық көмек	|	2	|	05	|	2	|		|		|		|		|		|	
Орталық мемлекеттік органдар тартатын гранттар	|	2	|	05	|	2	|	01	|	100	|		|		|		|	
Жергілікті атқарушы органдар тарататын гранттар	|	2	|	05	|	2	|	02	|		|	100	|	100	|	100	|	
Басқа да салықтық емес түсiмдер	|	2	|	06	|		|		|		|		|		|		|	
Басқа да салықтық емес түсiмдер	|	2	|	06	|	1	|		|		|		|		|		|	
Республикалық бюджеттен қаржыландырылатын мемлекеттік мекемелердің дебиторлық, депоненттік берешегінің түсімдері	|	2	|	06	|	1	|	04	|	100	|		|		|		|	
Жергілікті бюджеттен қаржыландырылатын мемлекеттік мекемелердің дебиторлық, депоненттік берешегінің түсімі	|	2	|	06	|	1	|	05	|		|	100	|	100	|	100	|	
Бұрын республикалық бюджеттен алынған, пайдаланылмаған қаражатты қайтару	|	2	|	06	|	1	|	06	|	100	|		|		|		|	
Бұрын жергілікті бюджеттен алынған, пайдаланылмаған қаражаттардың қайтарылуы	|	2	|	06	|	1	|	07	|		|	100	|	100	|	100	|	
Мұнай секторы ұйымдарынан түсетін түсімдерді қоспағанда, республикалық бюджетке түсетін басқа да салықтық емес түсімдер	|	2	|	06	|	1	|	08	|	Республикалық бюджетке түсетін қайырымдылық түсімдер (қайырымдылық жасаушы тұлғаның ықыласына байланысты); республикалық бюджеттің қаражаттарын мақсатсыз пайдалану; органдарының тексеру актілері бойынша республикалық бағыныстағы мемлекеттік мекемелерде анықталған өтелген зиян сомалары; мемлекеттік мекемелерде анықталған өтелген зиян сомалары; мемлекеттік кепілдік бергені үшін төлем; 28 қыркүйектегі 1995 жылғы № 2464 «Қазақстан Рсепубликасындағы сайлау туралы» Қазақстан Республикасы Президентінің Жарлығына сәйкес енгізілген депутаттыққа кандидаттың сайлау жарнасы; республикалық бюджеттен қаржыландырылатын мекемелер бойынша соттар шешімдерімен мемлекеттің материалдық зиянын өтеуге жауаптылардан алынған сомалар; бұрындары республикалық бюджетке түскен салықтық емес түсімдердің жойылған түрлері бойынша түсімдер; республикалық бюджеттен қаржыландырылатын мекемелердің шоттарын жабу кезіндегі қаражат қалдықтары; осы сомалар ағымдағы есепшотында сақталған мемлекеттік мекеменің өкімі бойынша сақтау мерзімі аяқталғаннан кейін талап етілмеген депозиттік сомалар; заңды және жеке тұлғалардың республикалық бюджеттен заңсыз алынған қаражатты қайтаруы.	|		|		|		|	
Жергіліктік бюджетке түсетін салықтық емес басқа да түсімдер	|	2	|	06	|	1	|	09	|		|	Жергілікті бюджетке түсетін қайырымдылық түсімдер (қайырымдылық жасаушы тұлғаның ниетіне байланысты); жергілікті бюджет қаражатын мақсатсыз пайдалану; Қаржы министрлігінің органдарының тексеру актілері бойынша жергілікті бағыныстағы мемлекеттік мекемелерде анықталған өтелген зиян сомалары; жергілікті бюджеттен қаржыландырылатын мекемелер бойынша соттар шешімдерімен мемлекеттің материалдық зиянын өтеуге жауаптылардан алынған сомалар; бұрын жергілікті бюджетке түскен салықтық емес түсімдердің жойылған түрлері бойынша түсімдер; жергілікті бюджеттен қаржыландырылатын мекемелердің шоттарын жабу кезіндегі қаражат қалдықтары; осы сомалар ағымдағы есепшотында сақтаулы мемлекеттік мекеменің өкімі бойынша сақтау мерзімі аяқталғаннан кейін талап етілмеген депозиттік сомалар; заңды және жеке тұлғалардың жергілікті бюджеттен заңсыз алынған қаражатты қайтаруы.	|	Жергілікті бюджетке түсетін қайырымдылық түсімдер (қайырымдылық жасаушы тұлғаның ниетіне байланысты); жергілікті бюджет қаражатын мақсатсыз пайдалану; Қаржы министрлігінің органдарының тексеру актілері бойынша жергілікті бағыныстағы мемлекеттік мекемелерде анықталған өтелген зиян сомалары; жергілікті бюджеттен қаржыландырылатын мекемелер бойынша соттар шешімдерімен мемлекеттің материалдық зиянын өтеуге жауаптылардан алынған сомалар; бұрын жергілікті бюджетке түскен салықтық емес түсімдердің жойылған түрлері бойынша түсімдер; жергілікті бюджеттен қаржыландырылатын мекемелердің шоттарын жабу кезіндегі қаражат қалдықтары; осы сомалар ағымдағы есепшотында сақтаулы мемлекеттік мекеменің өкімі бойынша сақтау мерзімі аяқталғаннан кейін талап етілмеген депозиттік сомалар; заңды және жеке тұлғалардың жергілікті бюджеттен заңсыз алынған қаражатты қайтаруы.	|	Жергілікті бюджетке түсетін қайырымдылық түсімдер (қайырымдылық жасаушы тұлғаның ниетіне байланысты); жергілікті бюджет қаражатын мақсатсыз пайдалану; Қаржы министрлігінің органдарының тексеру актілері бойынша жергілікті бағыныстағы мемлекеттік мекемелерде анықталған өтелген зиян сомалары; жергілікті бюджеттен қаржыландырылатын мекемелер бойынша соттар шешімдерімен мемлекеттің материалдық зиянын өтеуге жауаптылардан алынған сомалар; бұрын жергілікті бюджетке түскен салықтық емес түсімдердің жойылған түрлері бойынша түсімдер; жергілікті бюджеттен қаржыландырылатын мекемелердің шоттарын жабу кезіндегі қаражат қалдықтары; осы сомалар ағымдағы есепшотында сақтаулы мемлекеттік мекеменің өкімі бойынша сақтау мерзімі аяқталғаннан кейін талап етілмеген депозиттік сомалар; заңды және жеке тұлғалардың жергілікті бюджеттен заңсыз алынған қаражатты қайтаруы.	|	
Мүлiктi жария еткенi үшiн алым	|	2	|	06	|	1	|	10	|	100	|		|		|		|	
Мұнай секторы ұйымдарынан түсетін басқа да салықтық емес түсімдер	|	2	|	06	|	1	|	11	|		|		|		|		|	100
Жануарларды сәйкестендіру үшін ветеринариялық паспорттың, жапсырмалардың (чиптердің) құнын қайтару	|	2	|	06	|	1	|	12	|		|	100	|	100	|		|	
Парниктік газдар шығарындыларына квоталар бөлудің ұлттық жоспарының квота көлемі резервін басқарудан және белгіленген мөлшер бірліктерін беруден түскен түсімдер	|	2	|	06	|	1	|	13	|	100	|		|		|		|	
Өңірдің әлеуметтік-экономикалық дамуы мен оның инфрақұрылымын дамытуға жер қойнауын пайдаланушылардың аударымдары	|	2	|	06	|	1	|	14	|		|	100	|	100	|		|	
Негізгі капиталды сатудан түсетін түсімдер	|	3	|		|		|		|		|		|		|		|	
Мемлекеттік мекемелерге бекітілген мемлекеттік мүлікті сату	|	3	|	01	|		|		|		|		|		|		|	
Мемлекеттік мекемелерге бекітілген мемлекеттік мүлікті сату	|	3	|	01	|	1	|		|		|		|		|		|	
Республикалық бюджеттен қаржыландырылатын мемлекеттік мекемелерге бекітілген мүлікті сатудан түсетін түсімдер	|	3	|	01	|	1	|	01	|	100	|		|		|		|	
Жергілікті бюджеттен қаржыландырылатын мемлекеттік мекемелерге бекітілген мүлікті сатудан түсетін түсімдер	|	3	|	01	|	1	|	02	|		|	100	|	100	|	100	|	
Азаматтарға пәтерлер сатудан түсетін түсімдер	|	3	|	01	|	1	|	03	|		|		|	100	|	100	|	
Мемлекеттік материалдық резервтен тауарлар сату	|	3	|	02	|		|		|		|		|		|		|	
Мемлекеттік материалдық резервтен тауарлар сату	|	3	|	02	|	1	|		|		|		|		|		|	
Мемлекеттiк резервтерден алынған тауарлар үшiн берешектi өтеуден түсетiн түсiмдер	|	3	|	02	|	1	|	01	|	100	|		|		|		|	
Нормативтен тыс қорларды сатудан түсетін түсімдер	|	3	|	02	|	1	|	02	|	100	|		|		|		|	
Мемлекеттік ресурстардан астық сатудан түсетін түсімдер	|	3	|	02	|	1	|	03	|	100	|		|		|		|	
Жұмылдыру резервінің материалдық құндылықтарын сатудан түсетін түсімдер	|	3	|	02	|	1	|	04	|	100	|		|		|		|	
Мемлекеттік резервінің материалдық құндылықтарын сатудан түсетін түсімдер	|	3	|	02	|	1	|	05	|	100	|		|		|		|	
Жердi және материалдық емес активтердi сату	|	3	|	03	|		|		|		|		|		|		|	
Жерді сату	|	3	|	03	|	1	|		|		|		|		|		|	
Жер учаскелерін сатудан түсетін түсімдер	|	3	|	03	|	1	|	01	|		|		|	100	|	100	|	
Ауыл шаруашылығы мақсатындағы жер учаскелерін сатудан түсетін түсімдер	|	3	|	03	|	1	|	02	|		|		|		|		|	100
Материалдық емес активтерді сату	|	3	|	03	|	2	|		|		|		|		|		|	
Материалдық емес активтердi сату	|	3	|	03	|	2	|	01	|	100	|		|		|		|	
Жер учаскелерін жалдау құқығын сатқаны үшін төлем	|	3	|	03	|	2	|	02	|		|		|	100	|	100	|	
Трансферттердің түсімдері	|	4	|		|		|		|		|		|		|		|	
Төмен тұрған мемлекеттiк басқару органдарынан трансферттер	|	4	|	01	|		|		|		|		|		|		|	
Облыстық бюджеттерден, Астана және Алматы қалаларының бюджеттерінен трансферттер	|	4	|	01	|	1	|		|		|		|		|		|	
Нысаналы мақсатқа сай пайдаланылмаған нысаналы трансферттерді қайтару	|	4	|	01	|	1	|	01	|	100	|		|		|		|	
Нысаналы пайдаланылмаған (толық пайдаланылмаған) трансферттерді қайтару	|	4	|	01	|	1	|	02	|	100	|		|		|		|	
Атырау облысының облыстық бюджетiнен алынатын бюджеттік алу	|	4	|	01	|	1	|	04	|	100	|		|		|		|	
Маңғыстау облысының облыстық бюджетiнен алынатын бюджеттік алу	|	4	|	01	|	1	|	05	|	100	|		|		|		|	
