Солтүстік Қазақстан облысының әкімдігі ҚАУЛЫ ЕТЕДІ:

1. "Жергілікті маңызы бар балық шаруашылығы су айдындарының және (немесе) учаскелерінің тізбесін бекіту туралы" Солтүстік Қазақстан облысы әкімдігінің 2019 жылғы 4 сәуірдегі № 76 қаулысына (Нормативтік құқықтық актілерді мемлекеттік тіркеу тізілімінде № 5334 болып тіркелді) мынадай өзгеріс енгізілсін:

көрсетілген қаулымен бекітілген қосымша осы қаулының қосымшасына сәйкес жаңа редакцияда жазылсын.

2. "Солтүстік Қазақстан облысы әкімдігінің табиғи ресурстар және табиғат пайдалануды реттеу басқармасы" коммуналдық мемлекеттік мекемесі Қазақстан Республикасының заңнамасында белгіленген тәртіпте қамтамасыз етсін:

1) осы қаулыны Қазақстан Республикасының Әділет министрлігінде мемлекеттік тіркеуді;

2) осы қаулыны ресми жарияланғаннан кейін Солтүстік Қазақстан облысы әкімдігінің интернет-ресурсында орналастыруды.

3. Осы қаулының орындалуын бақылау Солтүстік Қазақстан облысы әкімінің жетекшілік ететін мәселелер жөніндегі орынбасарына жүктелсін.

4. Осы қаулы оның алғашқы ресми жарияланған күнінен кейін күнтізбелік он күн өткен соң қолданысқа енгізіледі.


Солтүстік Қазақстан облысының әкімі	|	К. Аксакалов



	|	Солтүстік Қазақстан
	|	облысы әкімдігінің
	|	2021 жылғы 18 қарашадағы
	|	№ 256 қаулысына
	|	қосымша
	|	Солтүстік Қазақстан
	|	облысы әкімдігінің
	|	2019 жылғы "04" сәуірдегі
	|	№ 76 қаулысына
	|	қосымша

Жергілікті маңызы бар балық шаруашылығы су айдындарының және (немесе) учаскелерінің тізбесі

№	|	Cу айдыны және (немесе) учаскесі	|	Ауданы, гектар	|	Орналасқан жері	|	Балық шаруашылығының түрі
176	|	Сосновое көлі	|	75	|	Казанка ауылынан солтүстік шығысқа қарай 6,2 километр	|	Кәсіпшілік балық аулау
177	|	Суаткөл көлі	|	125	|	Озерное ауылынан оңтүстік шығысқа қарай 0,5 километр	|	Кәсіпшілік балық аулау
178	|	Суаткөл (Имантау) көлі	|	50	|	Баян ауылынан шығысқа қарай 7,8 километр	|	Көлде тауарлы балық өсіру шаруашылығы
179	|	Табунное көлі	|	40	|	Пресновка ауылынан оңтүстік шығысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
180	|	Тақтакөл көлі	|	784	|	Украинское ауылынан солтүстік батысқа қарай 6,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
181	|	Тоқсанбай көлі	|	110	|	Макарьевка ауылынан оңтүстік шығысқа қарай 8 километр	|	Кәсіпшілік балық аулау
182	|	Трупердысор көлі	|	470	|	Амангелді ауылынан оңтүстік батысқа қарай 4,5 километр	|	Кәсіпшілік балық аулау
183	|	Толыбай көлі	|	584	|	Макарьевка ауылынан оңтүстік батысқа қарай 7 километр	|	Кәсіпшілік балық аулау
184	|	Тұлымбай көлі	|	165	|	Богдановка ауылынан оңтүстікке қарай 0,4 километр	|	Кәсіпшілік балық аулау
185	|	Угловое көлі	|	43	|	Троицкое аулынан солтүстік солтүстік шығысқа қарай 8,5 километр	|	Кәсіпшілік балық аулау
186	|	Үзбақан көлі	|	72	|	Светлое ауылынан батысқа қарай 2 километр	|	Кәсіпшілік балық аулау
187	|	Ұлыкөл көлі	|	51	|	Сәбит ауылынан оңтүстік шығысқа қарай 0,8 километр	|	Кәсіпшілік балық аулау
188	|	Үлкенкөл (Утятник) көлі	|	147	|	Қарақамыс ауылынан оңтүстік шығысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
189	|	Үлкенсор көлі	|	350	|	Благовещенка ауылынан солтүстік батысқа қарай 5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
190	|	Утиное көлі	|	116	|	Казанка ауылынан солтүстікке қарай 2,3 километр	|	Кәсіпшілік балық аулау
191	|	Утков көлі	|	31	|	Айымжан ауылынан солтүстік шығысқа қарай 4,6 километр	|	Кәсіпшілік балық аулау
192	|	Церковное көлі	|	87	|	Макарьевка ауылынан солтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
193	|	Часовое көлі	|	40	|	Петровка ауылынан солтүстік шығысқа қарай 5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
194	|	Чистое көлі	|	67	|	Архангелка ауылынан оңтүстік батысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
195	|	Чистое көлі (Чапаевка ауылы)	|	56	|	Чапаевка ауылынан солтүстікке қарай 3,2 километр	|	Кәсіпшілік балық аулау
196	|	Шынтемір көлі	|	95,8	|	Жамбыл ауылынан солтүстікке қарай 2,2 километр	|	Кәсіпшілік балық аулау
197	|	Шорохов көлі	|	85	|	Орталық ауылынан солтүстік батысқа қарай 5 километр	|	Кәсіпшілік балық аулау
198	|	Шубное көлі	|	170	|	Макарьевка ауылынан батысқа қарай 7 километр	|	Кәсіпшілік балық аулау
199	|	Щитов көлі	|	163	|	Пресновка ауылынан шығысқа қарай 1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
200	|	Ягодное көлі	|	500	|	Екатериновка ауылынан оңтүстікке қарай 10 километр	|	Кәсіпшілік балық аулау
201	|	Ямное көлі	|	28	|	Макарьевка ауылынан оңтүстік батысқа қарай 4,7 километр	|	Кәсіпшілік балық аулау
202	|	Ястребиновское көлі	|	248	|	Ястребинка ауылынан оңтүстік батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
Мағжан Жұмабаев ауданы
203	|	Үлкен Алуа көлі	|	193,4	|	Алуа ауылынан солтүстікке қарай 0,8 километр	|	Кәсіпшілік балық аулау
204	|	Армяжье көлі	|	62	|	Успенка ауылынан батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
205	|	Баранов көлі	|	250	|	Чистое ауылынан батысқа қарай 0,4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
206	|	Большое Соленое көлі	|	959	|	Полтавка ауылынан солтүстік шығысқа қарай 0,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
207	|	Зарослое көлі	|	152,2	|	Зарослое ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
208	|	Звездочка көлі	|	74	|	Октябрьское ауылынан солтүстік батысқа қарай 1,8 километр	|	Кәсіпшілік балық аулау
209	|	Камышлов көлі	|	1704,7	|	Ганькин ауылынан оңтүстікке қарай 0,8 километр	|	Көлде тауарлы балық өсіру шаруашылығы
210	|	Медвежье көлі	|	880	|	Чистовское ауылынан батысқа қарай	|	Көлде тауарлы балық өсіру шаруашылығы
211	|	Питное көлі	|	606,9	|	Полудин ауылынан оңтүстікке қарай 0,3 километр	|	Кәсіпшілік балық аулау
212	|	Половинное көлі	|	568	|	Полудин ауылынан шығысқа қарай 4,6 километр	|	Кәсіпшілік балық аулау
213	|	Пронькин көлі	|	78	|	Успенка ауылынан батысқа қарай 0,2 километр	|	Кәсіпшілік балық аулау
214	|	Рубашное көлі	|	26	|	Камышлов ауылынан солтүстік шығысқа қарай 2 километр	|	Кәсіпшілік балық аулау
215	|	Рявкин көлі	|	307,5	|	Рявкин ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
216	|	Соленое көлі	|	970	|	Қарақоға ауылынан солтүстікке қарай 2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
217	|	Соленое (Медвежка) көлі	|	370	|	Медвежка ауылынан оңтүстік батысқа қарай 1,3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
218	|	Солодка көлі	|	500	|	Қарақоға ауылынан солтүстік батысқа қарай 0,8 километр	|	Көлде тауарлы балық өсіру шаруашылығы
219	|	Ұзынкөл көлі	|	720	|	Таман ауылынан оңтүстік батысқа қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
Қызылжар ауданы
220	|	Бабаш өзбойы	|	93,1	|	Якорь ауылынан шығысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
221	|	Байсал көлі	|	120	|	Байсал ауылынан шығысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
222	|	Башкир көлі	|	147	|	Архангелка ауылынан шығысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
223	|	Кіші Белое көлі	|	81,5	|	Пеньков ауылынан оңтүстік шығысқа қарай 4,8 километр	|	Кәсіпшілік балық аулау
224	|	Белое Сумное көлі	|	312,1	|	Сумное ауылынан батысқа қарай 2,6 километр	|	Көлде тауарлы балық өсіру шаруашылығы
225	|	Үлкен Пузыриха көлі	|	65	|	Налобин ауылынан оңтүстік шығысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
226	|	Бугровое көлі	|	69	|	Бугровое ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
227	|	Волков көлі	|	90	|	Николаевка ауылынан оңтүстікке қарай 3,5 километр	|	Кәсіпшілік балық аулау
228	|	Волченок көлі	|	90	|	Николаевка ауылынан оңтүстік батысқа қарай 1,8 километр	|	Кәсіпшілік балық аулау
229	|	Гайдуков көлі	|	186	|	Гайдуков ауылынан батысқа қарай 0,1 километра	|	Кәсіпшілік балық аулау
230	|	Глубокое көлі	|	150	|	Налобин ауылынан солтүстік батысқа қарай 1,6 километр	|	Кәсіпшілік балық аулау
231	|	Кіші Глубокое көлі	|	87,7	|	Глубокое ауылынан солтүстік батысқа қарай 1,4 километр	|	Кәсіпшілік балық аулау
232	|	Гусиное (Асанов) көлі	|	85,6	|	Асанов ауылынан оңтүстік шығысқа қарай 7,5 километр	|	Кәсіпшілік балық аулау
233	|	Гусиное көлі	|	60	|	Бескөл ауылынан солтүстік шығысқа қарай 0,3 километр	|	Кәсіпшілік балық аулау
234	|	Гусиное (Желяков) көлі	|	160	|	Желяков ауылынан шығысқа қарай 2,3 километр	|	Кәсіпшілік балық аулау
235	|	Гусиное (Кіші) көлі	|	50	|	Глубокое ауылынан солтүстікке қарай 3 километр	|	Кәсіпшілік балық аулау
236	|	Даньков көлі	|	22	|	Кустовое ауылынан оңтүстік батысқа қарай 2,8 километр	|	Тор қоршамада балық өсіру шаруашылығы
237	|	Демкин көлі	|	66	|	Налобин ауылынан оңтүстік шығысқа қарай	|	Кәсіпшілік балық аулау
238	|	Долбилов көлі	|	10	|	Прибрежное ауылынан оңтүстік батысқа қарай 2,5 километр	|	Кәсіпшілік балық аулау
239	|	Жалтыр көлі	|	135,5	|	Трудовое ауылынан солтүстік батысқа қарай 8,2 километр	|	Кәсіпшілік балық аулау
240	|	Жаманов көлі	|	142	|	Сумное ауылынан оңтүстік батысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
241	|	Желтое көлі	|	92	|	Глубокое ауылынан солтүстікке қарай 5 километр	|	Кәсіпшілік балық аулау
242	|	Желяков көлі	|	392	|	Желяков ауылынан солтүстікке қарай0,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
243	|	Желяков өзбойы	|	5	|	Желяков ауылынан шығысқа қарай 2 километр	|	Тор қоршамада балық өсіру шаруашылығы
244	|	Забочное көлі	|	80	|	Соколовка ауылынан солтүстікке қарай 0,6 километр	|	Көлде тауарлы балық өсіру шаруашылығы
245	|	Зверобойное көлі	|	80	|	Налобин ауылынан оңтүстікке қарай 2,7 километр	|	Кәсіпшілік балық аулау
246	|	Земляное көлі	|	34,4	|	Метлишин ауылынан солтүстік батысқа қарай 3,2 километр	|	Кәсіпшілік балық аулау
247	|	Земляное (Бугровое) көлі	|	45	|	Бугровое ауылынан оңтүстік шығысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
248	|	Зоринское көлі	|	30	|	Кондратовка ауылынан оңтүстік батысқа қарай 3,8 километр	|	Кәсіпшілік балық аулау
249	|	Исаков көлі	|	34	|	Исаков ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
250	|	Есіл өзенінің № 1 жайылмасы (Қызылжар ауданы)	|		|	Қызылжар ауданы Семипалатное ауылынан Петропавл қаласының теміржол көпіріне дейін	|	Кәсіпшілік балық аулау
251	|	Есіл өзенінің № 2 жайылмасы (Қызылжар ауданы)	|		|	Петропавл қаласының теміржол көпірінен Ресей Федерациясымен шекараға дейін	|	Кәсіпшілік балық аулау
252	|	Каменная (Долматов) өзбойы	|	20	|	Долматов ауылынан оңтүстікке қарай 0,5 километр	|	Тор қоршамада балық өсіру шаруашылығы
253	|	Каменное көлі	|	108,3	|	Глубокое ауылынан солтүстікке қарай 5 километр	|	Кәсіпшілік балық аулау
254	|	Камышное көлі	|	47,8	|	Новоникольское ауылынан солтүстік шығысқа қарай 4 километр	|	Кәсіпшілік балық аулау
255	|	Карьков көлі	|	78,2	|	Дубровное ауылынан оңтүстік шығысқа қарай 6,1 километр	|	Кәсіпшілік балық аулау
256	|	Киров көлі	|	63	|	Новоалександровка ауылынан шығысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
257	|	Кисельное көлі	|	150	|	Байсал ауылынан оңтүстік батысқа қарай1,8 километр	|	Кәсіпшілік балық аулау
258	|	Кишкибиши көлі	|	40	|	Березовка ауылынан оңтүстікке қарай 4,2 километр	|	Кәсіпшілік балық аулау
259	|	Коростель көлі	|	63	|	Налобин ауылынан оңтүстік оңтүстік батысқа қарай 7,3 километр	|	Кәсіпшілік балық аулау
260	|	Кривое көлі	|	124	|	Кустовое ауылынан солтүстік батысқа қарай 3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
261	|	Кривое (Кіші) көлі	|	60,2	|	Сумное ауылынан солтүстік шығысқа қарай 3,2 километр	|	Кәсіпшілік балық аулау
262	|	Круглое (Черное) көлі	|	30	|	Сумное ауылынан солтүстік шығысқа қарай 4,6 километр	|	Кәсіпшілік балық аулау
263	|	Круглое көлі	|	45	|	Боголюбов ауылынан солтүстік батысқа қарай 7 километр	|	Кәсіпшілік балық аулау
264	|	Крутое көлі	|	60	|	Знаменское ауылынан оңтүстік шығысқа қарай 1,8 километр	|	Кәсіпшілік балық аулау
265	|	Курейное көлі	|	150	|	Гайдуков ауылынан оңтүстік шығысқа қарай 2,4 километр	|	Кәсіпшілік балық аулау
266	|	Қызыл көлі	|	42	|	Дубровное ауылынан оңтүстік шығысқа қарай 0,55 километр	|	Кәсіпшілік балық аулау
267	|	Лог өзбойы	|	8	|	Кривозерка ауылынан оңтүстік батысқа қарай 0,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
268	|	Лебеденок көлі	|	380	|	Налобин ауылынан оңтүстік батысқа қарай 7,7 километр	|	Кәсіпшілік балық аулау
269	|	Лебяжье (Налобин) көлі	|	173,8	|	Налобин ауылынан батыс оңтүстік батысқа қарай 7 километр	|	Кәсіпшілік балық аулау
270	|	Лебяжье көлі	|	600	|	Соколовка ауылынан солтүстікке қарай 1,5 километр	|	Кәсіпшілік балық аулау
271	|	Метлишин көлі	|	32,2	|	Метлишин ауылынан солтүстік батысқа қарай 1 километр	|	Кәсіпшілік балық аулау
272	|	Үлкен Метлишин көлі	|	37	|	Метлишин ауылынан солтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
273	|	Моховое көлі	|	107	|	Боголюбов ауылынан батысқа қарай 12 километр	|	Кәсіпшілік балық аулау
274	|	Моховое (Жақын) көлі	|	110	|	Боголюбов ауылынан солтүстік батысқа қарай 6 километр	|	Кәсіпшілік балық аулау
275	|	Налобинское көлі	|	83,5	|	Глубокое ауылынан солтүстік шығысқа қарай 4,7 километр	|	Кәсіпшілік балық аулау
276	|	Никульское көлі	|	433	|	Красноярка ауылынан солтүстік батысқа қарай 3,6 километр	|	Кәсіпшілік балық аулау
277	|	Новое көлі	|	110	|	Николаевка ауылынан солтүстікке қарай 0,4 километр	|	Кәсіпшілік балық аулау
278	|	Осиновое көлі	|	59,4	|	Леденев ауылынан солтүстік шығысқа қарай 2,9 километр	|	Кәсіпшілік балық аулау
279	|	Палочное көлі	|	83,5	|	Глубокое ауылынан оңтүстік шығысқа қарай 1,1 километр	|	Кәсіпшілік балық аулау
280	|	Пестрое көлі	|	200	|	Петропавл қаласының оңтүстік шеті	|	Кәсіпшілік балық аулау
281	|	Үлкен Пеньков көлі	|	78,1	|	Сумное ауылынан солтүстікке қарай 3 километр	|	Кәсіпшілік балық аулау
282	|	Плоское көлі	|	168	|	Глубокое ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
283	|	Плоское (Домашнее) көлі	|	792	|	Плоское ауылынан оңтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
284	|	Подковная өзбойы	|	1,2	|	қала маңы	|	Әуесқойлық (спорттық) балық аулау
285	|	Подогородная өзбойы	|	6,4	|	Вагулин ауылынан шығысқа қарай 3 километр	|	Әуесқойлық (спорттық) балық аулау
286	|	Подувальная өзбойы	|	2	|	қала маңы	|	Кәсіпшілік балық аулау
287	|	Полковников көлі	|	222,8	|	Вагулин ауылынан солтүстікке қарай 1,3 километр	|	Кәсіпшілік балық аулау
288	|	Половинное көлі	|	70	|	Кондратовка ауылынан оңтүстік оңтүстік батысқа қарай 10,7 километр	|	Кәсіпшілік балық аулау
289	|	Пруд көлі	|	46,8	|	Пресновка ауылынан оңтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
290	|	Речкин көлі	|	73	|	Глубокое ауылынан солтүстік батысқа қарай 4,2 километр	|	Кәсіпшілік балық аулау
291	|	Рыбное көлі	|	250	|	Леденев ауылынан солтүстік шығысқа қарай 7,7 километр	|	Кәсіпшілік балық аулау
292	|	Рыбное (Асановское) көлі	|	129,8	|	Асанов ауылынан солтүстік батысқа қарай 4,2 километр	|	Кәсіпшілік балық аулау
293	|	Сафонков көлі	|	137,5	|	Березовка ауылынан шығысқа қарай 3,2 километр	|	Кәсіпшілік балық аулау
294	|	Светлое көлі	|	37	|	Виноградовка ауылынан солтүстік солтүстік батысқа қарай 3,2 километр	|	Кәсіпшілік балық аулау
295	|	Сергин көлі	|	61,9	|	Дубровное ауылынан оңтүстік шығысқа қарай 4,2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
296	|	Сивков көлі	|	178,7	|	Виноградовка ауылынан шығысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
297	|	Соленое көлі	|	180	|	Пресновка ауылынан оңтүстікке қарай 0,5 километр	|	Кәсіпшілік балық аулау
298	|	Соленое (Пригородное) көлі	|	80	|	Бескөл ауылынан солтүстік шығысқа қарай 1,6 километр	|	Кәсіпшілік балық аулау
299	|	Солонцы көлі	|	200	|	Желяков ауылынан солтүстік батысқа қарай 4 километр	|	Кәсіпшілік балық аулау
300	|	Стерхов көлі	|	80,6	|	Налобин ауылынан оңтүстік шығысқа қарай 3,6 километр	|	Кәсіпшілік балық аулау
301	|	Сумное көлі	|	185,6	|	Сумное ауылынан солтүстік батысқа қарай 0,7 километр	|	Кәсіпшілік балық аулау
302	|	Травное көлі	|	265	|	Новокаменка ауылынан солтүстік батысқа қарай 2 километр	|	Көлде тауарлы балық өсіру шаруашылығы
303	|	Усталое көлі	|	63,6	|	Глубокое ауылынан солтүстікке қарай 0,1 километр	|	Кәсіпшілік балық аулау
304	|	Ұялы көлі	|	197	|	Трудовое ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
305	|	Хлынов көлі	|	44	|	Гайдуков ауылынан оңтүстік шығысқа қарай 0,3 километр	|	Кәсіпшілік балық аулау
306	|	Холодное көлі	|	60	|	Боголюбов ауылынан оңтүстік шығысқа қарай 4,3 километр	|	Кәсіпшілік балық аулау
307	|	Чаечное көлі	|	28	|	Налобин ауылынан шығысқа қарай5 километр	|	Кәсіпшілік балық аулау
308	|	Чайное көлі	|	54,4	|	Глубокое ауылынан солтүстікке қарай2,8 километр	|	Кәсіпшілік балық аулау
309	|	Чалков көлі	|	100	|	Новоалександровка ауылынан шығысқа қарай 2,5 километр	|	Кәсіпшілік балық аулау
310	|	Шөмішкөл (Шөмшікөл) көлі	|	130	|	Рассвет ауылынан солтүстік шығысқа қарай 7,2 километр	|	Кәсіпшілік балық аулау
311	|	Черепков көлі	|	175,1	|	Пеньков ауылынан солтүстік шығысқа қарай 6,5 километр	|	Кәсіпшілік балық аулау
312	|	Черная өзбойы	|	10	|	Озерное ауылынан оңтүстікке қарай 3 километр	|	Кәсіпшілік балық аулау
313	|	Широкое көлі	|	240	|	Вознесенка ауылынан солтүстік шығысқа қарай 1 километр	|	Кәсіпшілік балық аулау
314	|	Ыссыкөл көлі	|	120	|	Рассвет ауылынан оңтүстік шығысқа қарай 1,5 километра	|	Кәсіпшілік балық аулау
315	|	Якуш көлі (бір бөлігі)	|	3500	|	Дубровное ауылынан солтүстік шығысқа қарай 2,5 километр	|	Көлде тауарлы балық өсіру шаруашылығы
Мамлют ауданы
316	|	Атаман көлі	|	50	|	Бексейіт ауылынан солтүстікке қарай 6 километр	|	Кәсіпшілік балық аулау
317	|	Бекетное көлі	|	74	|	Дубровное ауылынан оңтүстікке қарай 6 километр	|	Көлде тауарлы балық өсіру шаруашылығы
318	|	Бекетное көлі	|	108	|	Леденов ауылынан солтүстік шығысқа қарай 6,5 километр	|	Кәсіпшілік балық аулау
319	|	Бексейіт көлі	|	160	|	Бексейіт ауылынан батысқа қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
320	|	Беленок көлі	|	41	|	Белое ауылынан солтүстік шығысқа қарай 0,5 километр	|	Кәсіпшілік балық аулау
321	|	Белое (Домашнее) көлі	|	367	|	Белое ауылынан батысқа қарай 0,1 километр	|	Кәсіпшілік балық аулау
322	|	Бесқамыс көлі	|	30	|	Калугин ауылынан оңтүстік шығысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
323	|	Бескозобов көлі	|	71	|	Белое ауылынан солтүстік шығысқа қарай 11,2 километр	|	Кәсіпшілік балық аулау
324	|	Бозай көлі	|	30	|	Токаревка ауылынан батысқа қарай 3,9 километр	|	Кәсіпшілік балық аулау
325	|	Буканы көлі	|	98	|	Новоандреевка ауылынан оңтүстік батысқа қарай 4,5 километр	|	Кәсіпшілік балық аулау
326	|	Волчье көлі	|	51	|	Сенжарка ауылынан оңтүстік шығысқа 3,2 километр	|	Кәсіпшілік балық аулау
327	|	Глубокое көлі	|	60	|	Афонькин ауылынан онтүстік шығысқа қарай 6 километр	|	Кәсіпшілік балық аулау
328	|	Голубев көлі	|	24	|	Покровка ауылынан онтүстік шығысқа қарай 4 километр	|	Кәсіпшілік балық аулау
329	|	Горькое көлі	|	51	|	Дубровное ауылынан оңтүстік батысқа қарай 2 километр	|	Кәсіпшілік балық аулау
330	|	Гурин көлі	|	110	|	Чистое ауылынан солтүстік шығысқа қарай 3 километр	|	Көлде тауарлы балық өсіру шаруашылығы
331	|	Долгое Ближнее көлі	|	23	|	Дубровное ауылынан оңтүстікке қарай 1 километр	|	Кәсіпшілік балық аулау
332	|	Долгое Дальнее көлі	|	38	|	Дубровное ауылынан оңтүстік шығысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
333	|	Дубровное (Домашнее) көлі	|	28	|	Дубровное ауылынан оңтүстікке қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
334	|	Евтюшкин көлі	|	27	|	Афонькин ауылынан батысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
335	|	Жагрин көлі	|	124	|	Белое ауылынан шығысқа қарай9 километр	|	Кәсіпшілік балық аулау
336	|	Жаркөл көлі	|	140	|	Владимировка ауылынан солтүстікке қарай1,4 километр	|	Кәсіпшілік балық аулау
337	|	Желтое (Становское) көлі	|	70	|	Токаревка ауылынан солтүстік батысқа қарай 3,8 километр	|	Кәсіпшілік балық аулау
338	|	Желтое (Щучье) көлі	|	23	|	Щучье ауылынан батысқа қарай 5 километр	|	Кәсіпшілік балық аулау
339	|	За бугром көлі	|	50	|	Афонькин ауылынан онтүстік шығысқа қарай 4 километр	|	Көлде тауарлы балық өсіру шаруашылығы
340	|	Золотое көлі	|	32	|	Коваль ауылынан онтүстікке қарай 0,7 километр	|	Кәсіпшілік балық аулау
341	|	Қабан көлі	|	23	|	Воскресеновка ауылынан солтүстікке қарай6,5 километр	|	Кәсіпшілік балық аулау
342	|	Қабанды көлі	|	85	|	Новоандреевка ауылынан оңтүстік батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
343	|	Казанцев көлі	|	75	|	Дубровное ауылынан солтүстік солтүстік шығысқа қарай 7,4 километр	|	Кәсіпшілік балық аулау
344	|	Казачье көлі	|	93	|	Михайловка ауылынан оңтүстік шығысқа қарай 9 километр	|	Кәсіпшілік балық аулау
345	|	Қалдаман көлі	|	140	|	Пчелин ауылынан оңтүстік шығысқа қарай 3 километр	|	Кәсіпшілік балық аулау
346	|	Қыңыр Қалдаман көлі	|	120	|	Пчелин ауылынан онтүстік шығысқа қарай 5 километр	|	Кәсіпшілік балық аулау
347	|	Калинин көлі	|	24	|	Искра ауылынан солтүстік шығысқа қарай 3 километр	|	Кәсіпшілік балық аулау
348	|	Калмыков көлі	|	62	|	Искра ауылынан шығысқа қарай 8,3 километр	|	Кәсіпшілік балық аулау
349	|	Каменное көлі	|	78	|	Мамлютка қаласынан солтүстікке қарай 2 километр	|	Кәсіпшілік балық аулау
350	|	Каменное (Белое) көлі	|	230	|	Белое ауылынан солтүстік шығысқа қарай 3 километр	|	Кәсіпшілік балық аулау
351	|	Камышов көлі	|	44	|	Новомихайловка ауылынан солтүстік шығысқа қарай	|	Кәсіпшілік балық аулау
352	|	Қамысты көлі	|	76,5	|	Андреевка ауылынан шығысқа қарай 1,5 километр	|	Кәсіпшілік балық аулау
353	|	Капрал (Байжарық) көлі	|	52	|	Бике ауылынан оңтүстікке қарай 0,7 километр	|	Кәсіпшілік балық аулау
354	|	Кинета көлі	|	21	|	Покровка ауылынан оңтүстікке қарай 5,5 километр	|	Кәсіпшілік балық аулау
355	|	Коваль көлі	|	104	|	Коваль ауылынан батысқа қарай 0,1 километр	|	Көлде тауарлы балық өсіру шаруашылығы
356	|	Козявочное көлі	|	63	|	Дубровное ауылынан солтүстік батысқа қарай 3 километр	|	Кәсіпшілік балық аулау
357	|	Косматое көлі	|	25	|	Покровка ауылынан оңтүстікке қарай 3 километр	|	Кәсіпшілік балық аулау
358	|	Кривое көлі	|	200	|	Дубровное ауылынан солтүстік батысқа қарай 4 километр	|	Кәсіпшілік балық аулау
359	|	Кривое көлі	|	64	|	Искра ауылынан оңтүстік батысқа қарай 7 километр	|	Кәсіпшілік балық аулау
360	|	Куклин көлі	|	49	|	Искра ауылынан солтүстікке қарай 0,2 километр	|	Кәсіпшілік балық аулау
361	|	Ледяевское көлі	|	45	|	Степное ауылынан батысқа қарай 0,9 километр	|	Кәсіпшілік балық аулау
362	|	Майорское көлі	|	31	|	Становое ауылынан оңтүстік батысқа қарай 2,8 километр	|	Кәсіпшілік балық аулау
363	|	Майское көлі	|	70	|	Леденев ауылынан оңтүстікке қарай3 километр	|	Кәсіпшілік балық аулау
364	|	Кіші Майское көлі	|	40	|	Леденев ауылынан солтүстік батысқа қарай6 километр	|	Кәсіпшілік балық аулау
365	|	Малое Становоекөлі	|	46	|	Становое ауылынан оңтүстік батысқа қарай 0,2 километр	|	Кәсіпшілік балық аулау
366	|	Үлкен Марушкин көлі	|	90	|	Афонькин ауылынан оңтүстік шығысқа қарай 3,5 километр	|	Кәсіпшілік балық аулау
367	|	Меңкесер көлі	|	4000	|	Меңкесер ауылынан оңтүстік батысқа қарай 2 километр	|	Ащы-тұзды су айдыны
368	|	Молоков көлі	|	70	|	Афонькин ауылынан оңтүстік шығысқа қарай 5,5 километр	|	Кәсіпшілік балық аулау
369	|	Моховичок көлі	|	110,8	|	Дубровное ауылынан солтүстік батысқа қарай 9,8 километр	|	Кәсіпшілік балық аулау
370	|	Моховое көлі	|	35	|	Меңкесер ауылынан шығысқа қарай 6 километр	|	Кәсіпшілік балық аулау
