
1. Қоса беріліп отырған «Мемлекеттік мүлік туралы» Қазақстан Республикасының 2011 жылғы 1 наурыздағы Заңын іске асыру жөніндегі іс-шаралар жоспары (бұдан әрі – Жоспар) бекітілсін. 2. Қазақстан Республикасы Экономикалық даму және сауда министрлiгi жыл сайын 15 ақпанға және 15 тамызға қарай Қазақстан Республикасының Үкiметiне Жоспардың iске асырылу барысы туралы ақпаратты ұсынсын. 3. Осы өкімнің орындалуын бақылау Қазақстан Республикасы Экономикалық даму және сауда министрлігіне жүктелсін.

Премьер-Министр                            К. Мәсімов

Қазақстан Республикасының Премьер-Министрінің 2011 жылғы 5 мамырдағы № 64-ө өкімімен бекітілген

«Мемлекеттік мүлік туралы» Қазақстан Республикасының Заңын іске асыру жөніндегі іс-шаралар жоспары


р/с№	|	Іс-шараның атауы	|	Жауапты орындаушылар	|	Аяқтау нысаны	|	Орындалу мерзімі
55	|	Қазақстан Республикасының аумағында құрылған, АҚ немесе ЖШС нысандарынан басқа, коммерциялық заңды тұлғалардың жарғылық капиталында қатысу үлестерін өткізу немесе оларды АҚ немесе ЖШС қайта құру	|	Республикалық деңгейде мемлекет бақылайтын АҚ-тың (ЖШС), ұлттық басқарушы холдингтердің, ұлттық холдингтердің, ұлттық компаниялардың атқарушы органдары	|	ЭДСМ-ге ақпарат	|	2011 жылғы 1 желтоқсанға
56	|	Қазақстан Республикасының аумағында құрылған, АҚ немесе ЖШС нысандарынан басқа, коммерциялық заңды тұлғаларының жарғылық капиталында қатысу үлестерін өткізу немесе оларды АҚ немесе ЖШС қайта құру	|	Жергілікті деңгейде мемлекет бақылайтын АҚ (ЖШС) атқарушы органдары	|	1. ЭДСМ-ге ақпаратты жинақтау үшін аудандық, облыстық маңызы бар қалалар әкімдіктерінің облыстар әкімдіктеріне ақпараты2. Облыстар, республикалық маңызы бар қалалар, астана әкімдіктерінің ЭДСМ-ге ақпараты	|	2011 жылғы 1 желтоқсанға
57	|	Бақыланатын АҚ (ЖШС) корпоративтік құрылым бойынша мемлекеттік мүлік тізіліміне ақпаратты ұсыну	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, облыстардың, республикалық маңызы бар қалалардың, астананың, аудандардың, облыстық маңызы бар қалалардың жергілікті атқарушы органдары	|	1. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай операторға ақпарат2. Мемлекеттік мүлікті есепке алу саласындағы бірыңғай оператордың ЭДСМ-ге ақпараты	|	2012 жылғы 1 сәуірге
58	|	Мемлекеттік мүлікті басқару саласындағы мемлекеттік саясатты қамтамасыз ету туралы ұлттық компаниялар президентімен (басқарма төрағасының), басқа басқарушы қызметкерлерімен еңбек шартына өзгерістер енгізу	|	ҰҒА, атқарушы органдар, «Қазақстан Ғарыш Сапары» ұлттық компаниясы» АҚ	|	ЭДСМ-ге ақпарат	|	2011 жылғы 31 мамырға
59	|	Ірі мәмілелер туралы шешім қабылдау тәртібі бойынша ұлттық компаниялардың жарғыларына өзгерістер енгізу	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, Қаржыминінің ММЖК, ұлттық басқарушы холдингтердің, ұлттық холдингтердің атқарушы органдары	|	ЭДСМ-ге ақпарат	|	2011 жылғы 1 қыркүйекке
60	|	«Парасат» АҚ, «Зерде» АҚ және «Ұлттық медициналық холдинг» АҚ директорлар кеңесінің құрамына ЭДСМ өкілін енгізу	|	БҒМ, БАМ, ДСМ, ЭДСМ	|	Қазақстан Республикасы Үкіметінің қаулысы	|	2011 жылғы 1 шілдеге
61	|	«Мемлекеттік мүлік туралы» Қазақстан Республикасының Заңына сәйкес директорлар кеңесі мен басқарма құзыретінің мәселелері бойынша ұлттық басқарушы холдингтердің, ұлттық холдингтердің жарғыларына өзгерістер енгізу	|	Тиісті саладағы уәкілетті органдар болып табылатын орталық мемлекеттік органдар, Қаржыминінің ММЖК, ұлттық басқарушы холдингтердің, ұлттық холдингтердің атқарушы органдары	|	ЭДСМ-ге ақпарат	|	2011 жылғы 1 шілдеге
62	|	«Мемлекеттік мүлік туралы» Қазақстан Республикасының Заңына сәйкес директорлар кеңесі туралы және басқарма туралы ережелерге өзгерістер енгізу	|	Ұлттық басқарушы холдингтердің, ұлттық холдингтердің атқарушы органдары	|	1. Директорлар кеңесінің шешімі2. ЭДСМ-ге ақпарат	|	2011 жылғы 1 шілдеге
63	|	Әлеуметтік-кәсіпкерлік корпорациялардың ұлттық компания мәртебесі айқындап, оларды қайта ұйымдастыру рәсімін үдерісін аяқтау	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары	|	ЭДСМ-ге, Қаржыминіне ақпарат	|	2011 жылғы 31 мамырға
64	|	Ұлттық компаниялар тізбесіне енгізу үшін ӘКК құру туралы әкімдіктердің қаулыларын ЭДСМ-ге, БҚА-ға ұсыну	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары	|	ЭДСМ-ге, БҚА-ға хат	|	2011 жылғы 1 маусымға
65	|	ӘКК жарғыларына мынадай өзгерістер енгізу:1) ұлттық компанияның мәртебесін айқындау бойынша;2) ірі мәміле бойынша директорлар кеңесінің және басқарманың құзыреті бойынша	|	Облыстардың, республикалық маңызы бар қалалардың, астананың жергілікті атқарушы органдары	|	ЭДСМ-ге, Қаржыминіне ақпарат	|	2011 жылғы 1 қыркүйекке


Еcкертпе: аббревиатуралардың толық жазылуы: ЭДСМ – Қазақстан Республикасы Экономикалық даму және сауда министрлігі Қаржымині – Қазақстан Республикасы Қаржы министрлігі ММЖК – Қазақстан Республикасы Қаржы министрлігінің Мемлекеттік мүлік және жекешелендіру комитеті ДСМ – Қазақстан Республикасы Денсаулық сақтау министрлігі БҒМ – Қазақстан Республикасы Білім және ғылым министрлігі БҚА – Қазақстан Республикасы Бәсекелестікті қорғау агенттігі ҰҒА – Қазақстан Республикасы Ұлттық ғарыш агенттігі СА – Қазақстан Республикасы Статистика агенттігі ЖРБА – Қазақстан Республикасы Жер ресурстарын басқару агенттігі ҰБХ – ұлттық басқарушы холдинг ҰК – ұлттық компания АҚ –  акционерлік қоғам ЖШС – жауапкершілігі шектеулі серіктестік

