
Қазақстан Республикасы Бюджеттік кодексінің 106 бабының 2 тармағының, 4) тармақшасына, "Қазақстан Республикасындағы жергілікті мемлекеттік басқару туралы" Қазақстан Республикасы Заңының 6 бабының 1 тармағының 1) тармақшасына сәйкес Меңдіқара аудандық мәслихаты ШЕШТІ:

1. "Меңдіқара ауданының 2009 жылғы арналған аудандық бюджеті туралы" мәслихаттың 2008 жылғы 23 желтоқсандағы № 137 шешіміне өзгерістер енгізілсін (мемлекеттік тіркеу № 9-15-96 2008 жылғы 30 желтоқсан, аудандық "Меңдіқара үні" газетінде 2009 жылғы 15 қаңтардағы 3 санында жарияланды): Аталмыш шешімнің 1 тармағы жаңа редакцияда жазылсын: "1. Меңдіқара ауданының 2009 жылға арналған аудандық бюджеті 1- қосымшаға сәйкес мынадай көлемдерде бекітілсін: 1) кірістер – 1137739 мың теңге, оның ішінде: салықтық түсімдер – 260 227 мың теңге; салықтық емес түсімдер – 2 000 мың теңге; негізгі капиталды сатудан алынатын түсімдер - 9 090 мың теңге; облыстық бюджеттен субвенция – 793926 мың теңге; ағымдағы мақсатты трансферттер - 72496 мың теңге; 2) шығыстар - 1 137739,1 мың теңге; бюджеттік дефицит - 0,1 мың теңге пайдаланбаған мақсатты трансферттерді қайтару". Аталмыш шешімнің 1 , 2 , 4 қосымшалары осы шешімнің 1, 2, 4 қосымшаларына сәйкес жаңа редакцияда жазылсын. 2. Осы шешім 2009 жылдың 1 қаңтарынаң бастап қолданысқа енгізіледі.

Сессия төрайымы                                   Л.Тихоненко

Аудандық мәслихаттың хатшысы                        В.Леонов

КЕЛІСІЛГЕН

Мәслихаттың 2009 жылғы 21 қаңтардағы № 151 шешіміне 1 қосымша

2009 жылға арналған Меңдіқара аудандық бюджеттің жобасы


Са нат	|	Сы нып	|	Ішкі сы нып	|	Специфика	|	АТАУЫ	|	2009 жылға бекітілген бюджет
	|		|		|	010	|	Жерлеу орындарын күтіп-ұстау және туысы жоқ адамдарды жерлеу	|	100
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	10888
	|	04	|		|	004	|	Мектепке дейінгі тәрбиелеу және оқыту ұйымдарының қызметтін қамтамасыз ету	|	22757
	|		|	123	|		|	Алешин селолық округі	|	4888
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	3653
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	165
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	40
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	30
	|		|		|		|	Борков селолық округі	|	4118
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	3858
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	195
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	40
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	25
	|		|		|		|	Буденный селолық округі	|	3954
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	3734
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	175
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	20
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	25
	|		|		|		|	Введен селолық округі	|	4584
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	4199
	|		|		|	005	|	Мектепке дейінгі тәрбие ұйымдарының қызметін  қамтамасыз ету	|	150
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	180
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	25
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	30
	|		|		|		|	Каменскорал селолық округі	|	3985
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	3745
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	180
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	25
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	35
	|		|		|		|	Краснопреснен селолық округі	|	5047
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	4652
	|		|		|	005	|	Мектепке дейінгі тәрбие ұйымдарының қызметін  қамтамасыз ету	|	150
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	190
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	25
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	30
	|		|		|		|	Қарақоға селолық округі	|	4605
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	4370
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	180
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	30
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	25
	|		|		|		|	Ломоносов селолық округі	|	4496
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	4234
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	180
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	45
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	37
	|		|		|		|	Михайлов селолық округі	|	10243
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	5208
	|	04	|		|	004	|	Мектепке дейінгі тәрбиелеу және оқыту ұйымдарының қызметтін қамтамасыз ету	|	4380
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	555
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	40
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	60
	|		|		|		|	Первомай селолық округі	|	8518
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	5423
	|		|		|	005	|	Мектепке дейінгі тәрбие ұйымдарының қызметін  қамтамасыз ету	|	160
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	2605
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	130
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	200
	|		|		|		|	Соснов селолық округі	|	4611
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	4369
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	190
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	22
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	30
	|		|		|		|	Теңіз селолық округі	|	4043
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	3818
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	180
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	20
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	25
	|		|		|		|	Боровской селосы әкімінің аппараты	|	47808
	|		|		|	001	|	Аудандық, село, селолық  округі әкімі аппаратының жұмыс істеуі	|	6808
7	|	03	|		|		|	Елді мекендерді көріктендіру	|	22623
	|		|	123	|		|	Аудандық, село, селолық   округі әкімінің  аппараты	|	22623
	|		|		|	008	|	Елді мекендерде көшелерді жарықтандыру	|	7915
	|		|		|	009	|	Елді мекендердің санитарлық жағдайын қамтамасыз ету	|	4272
	|		|		|	010	|	Жерлеу орындарын күтіп-ұстау және туысы жоқ адамдарды жерлеу	|	100
	|		|		|	011	|	Елді мекендерді абаттандыру мен көгалдандыру	|	10336
	|	04	|		|		|	Аудандық, село, селолық   округі әкімінің  аппараты	|	18377
	|		|		|	004	|	Мектепке дейінгі тәрбие ұйымдарының қызметін  қамтамасыз ету	|	18377


